City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Port Alfred,ZA,77.18,clear sky,-33.5906,26.891,The Halyards Hotel
8,Baracoa,CU,78.66,clear sky,20.3467,-74.4958,Hostal Rio Miel
12,Atuona,PF,77.65,clear sky,-9.8,-139.0333,Villa Enata
26,Kapaa,US,80.58,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
31,Butaritari,KI,81.03,light rain,3.0707,172.7902,Isles Sunset Lodge
35,Gat,IL,88.39,clear sky,31.61,34.7642,OlusHome
39,Marrakesh,MA,77.07,scattered clouds,31.6315,-8.0083,Les Jardins de La Koutoubia
44,Kavieng,PG,82.33,broken clouds,-2.5744,150.7967,Nusa Island Retreat
53,Naze,JP,81.86,overcast clouds,28.3667,129.4833,Shishime Hotel
57,Matara,LK,85.96,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
60,Mandera,KE,86.07,overcast clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
78,Bengkulu,ID,85.17,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
80,Doka,SD,82.81,scattered clouds,13.5167,35.7667,Um Rakuba Refugee Camp
87,Wanning,CN,87.87,broken clouds,18.8003,110.3967,Paradise Hotel
92,Tournon-Sur-Rhone,FR,79.27,clear sky,45.0667,4.8333,Fac & Spera Hôtel et Spa
95,Georgetown,MY,89.53,few clouds,5.4112,100.3354,Cititel Penang
98,Faya,SA,84.72,few clouds,18.3851,42.4509,املاك خالد الشعشوع
99,Cape Canaveral,US,80.01,scattered clouds,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
101,Tukrah,LY,83.39,clear sky,32.5341,20.5791,Lagrota restaurant
105,Ahuimanu,US,78.51,moderate rain,21.4447,-157.8378,Paradise Bay Resort
106,Gwadar,PK,89.67,overcast clouds,25.1216,62.3254,Sadaf Resort
107,Ambilobe,MG,86.58,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
108,Hilo,US,80.28,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
110,Sulangan,PH,83.84,overcast clouds,11.1373,123.7228,Maia's Beach Resort
112,Port Elizabeth,ZA,75.09,clear sky,-33.918,25.5701,39 On Nile Guest House
117,Katherine,AU,82.72,overcast clouds,-14.4667,132.2667,Pine Tree Motel
119,Dingle,PH,83.43,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
121,Kilosa,TZ,77.11,broken clouds,-6.8333,36.9833,Hotel Dorice & Daughters
122,Hamilton,US,79.75,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
123,Andros Town,BS,80.56,overcast clouds,24.7,-77.7667,Hanks place
127,Abeche,TD,79.34,overcast clouds,13.8292,20.8324,Assaleh Hamdan Haroune
129,Laguna,US,83.32,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
132,Hithadhoo,MV,84.69,broken clouds,-0.6,73.0833,Scoop Guest House
135,Katsuura,JP,79.29,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
137,Hasaki,JP,84.29,clear sky,35.7333,140.8333,Inubosaki Kanko Hotel
145,Lucea,JM,75.85,broken clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
148,Sinnamary,GF,75.42,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
149,Cayenne,GF,78.1,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
151,Ishigaki,JP,89.73,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
157,Lovington,US,78.03,clear sky,32.944,-103.3485,Comfort Inn & Suites Lovington
158,Sovetskiy,RU,76.35,overcast clouds,61.3614,63.5842,Apartment on Kievskaya 29
160,Kahului,US,77.02,clear sky,20.8947,-156.47,Maui Seaside Hotel
163,Mersing,MY,87.71,scattered clouds,2.4312,103.8405,Timotel Hotel
165,Namatanai,PG,80.58,light rain,-3.6667,152.4333,Seagulls Inn Namatani
166,Lafiagi,NG,75.74,overcast clouds,8.8667,5.4167,Bus group international
170,Saucillo,MX,80.53,overcast clouds,28.0167,-105.2833,Hotel La Posada de San Judas Tadeo
171,Basudebpur,IN,88.07,scattered clouds,21.1353,86.7386,"Teli Sahi Chhak,Basathi"
175,San Patricio,US,82.27,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
178,Namie,JP,83.71,light rain,37.4833,141.0,いこいの村なみえ
181,Tautira,PF,75.54,light rain,-17.7333,-149.15,Pension Oaoa
183,Kavaratti,IN,81.43,light rain,10.5669,72.642,Green leaf
184,Zhangye,CN,84.92,overcast clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
185,Katobu,ID,82.74,broken clouds,-4.9408,122.5276,La Ode Husein
187,Bandarbeyla,SO,89.06,broken clouds,9.4942,50.8122,JABIR HOTEL
193,Padang,ID,86.05,clear sky,-0.9492,100.3543,Mercure Padang
195,Meulaboh,ID,85.46,few clouds,4.1363,96.1285,Kost Pria
196,Huai Thalaeng,TH,86.36,overcast clouds,14.997,102.6475,รีสอร์ทฟิวแอนทิว
197,Tarakan,ID,81.9,broken clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
204,Axim,GH,75.97,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
205,Razole,IN,78.4,overcast clouds,16.4833,81.8333,Sterling Palavelli Godavari
209,Porto Novo,BJ,76.8,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
211,Cabo San Lucas,MX,79.52,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
212,Derzhavinsk,KZ,81.27,broken clouds,51.1,66.3167,Ooo.khim Baza
214,Zhicheng,CN,88.88,overcast clouds,30.2956,111.5047,Wangjiang Building
215,Yining,CN,76.69,overcast clouds,29.0361,114.5636,Xiushui Hotel
219,Pulaski,US,84.0,broken clouds,34.7668,-92.3001,DoubleTree by Hilton Hotel Little Rock
220,Carballo,ES,78.22,broken clouds,43.213,-8.691,Pazo do Souto
222,Lazaro Cardenas,MX,77.72,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
224,Winslow,US,84.38,broken clouds,35.0242,-110.6974,Best Western Plus Winslow Inn
227,Plettenberg Bay,ZA,75.81,clear sky,-34.0527,23.3716,Thanda Vista B&B
232,Stephenville,US,84.87,scattered clouds,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
241,Parrita,CR,75.81,scattered clouds,9.5201,-84.3225,Beso del Viento
244,Faanui,PF,77.77,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
245,Hobyo,SO,84.33,broken clouds,5.3505,48.5268,Iftin hotel hobyo
247,Joshimath,IN,82.36,broken clouds,30.5667,79.5667,Shivalik Camps & Resort
248,Hami,CN,89.08,scattered clouds,42.8,93.45,Laoyutang Resort
249,Fare,PF,76.62,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
253,Topeka,US,78.08,mist,39.0483,-95.678,Hotel Topeka At City Center
261,Bubaque,GW,80.87,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
265,Sajanan,TN,85.12,clear sky,37.0573,9.2426,Mine de Dhoihria
268,Carbonia,IT,86.95,clear sky,39.1672,8.5222,Lu 'Hotel
275,Port Blair,IN,86.04,moderate rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
277,Sola,VU,80.49,scattered clouds,-13.8833,167.55,Leumerus Bungalows
278,Van,TR,85.35,few clouds,38.4924,43.3831,Elite World Van Hotel
281,Bati,ET,79.34,overcast clouds,11.1833,40.0167,Meqdela Hotel
282,Bairiki,KI,78.8,moderate rain,1.3292,172.9752,Tarawa Boutique Hotel
283,May Pen,JM,79.81,clear sky,17.9645,-77.2451,Mus Com Bac
284,Oranjestad,AW,80.76,broken clouds,12.524,-70.027,Divi Village Golf & Beach Resort
285,Itarema,BR,76.26,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
289,Garowe,SO,86.65,few clouds,8.4054,48.4845,Curubo Hotel
291,Altus,US,82.96,clear sky,34.6381,-99.334,"Holiday Inn Express & Suites Altus, an IHG Hotel"
295,Bengbu,CN,85.3,scattered clouds,32.9408,117.3608,Howard Johnson Nanshan Plaza
296,Ca Mau,VN,87.51,broken clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
297,Ahmadpur,IN,82.83,overcast clouds,18.7,76.9333,Satish suryawanshi niwas
299,Ust-Nera,RU,77.36,overcast clouds,64.5667,143.2,Hotel Ust-Nera
303,Neiafu,TO,78.8,clear sky,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
304,Gopalpur,IN,80.74,heavy intensity rain,19.2667,84.9167,Gopalpur Palm Resort
305,Xuddur,SO,81.73,overcast clouds,4.1213,43.8894,Banjanay Hotel
307,Tarabha,IN,84.16,overcast clouds,20.7333,83.65,Saroj Kumbhar Residence
310,Yinchuan,CN,89.71,overcast clouds,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
312,Iberia,US,78.87,clear sky,29.9502,-91.7507,back to back rv park
318,Salym,RU,75.6,clear sky,60.0625,71.4789,Gostinitsa Salym
320,Kudahuvadhoo,MV,81.63,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
321,Kalmunai,LK,88.97,overcast clouds,7.4167,81.8167,VS Villa
322,Arsikere,IN,79.11,overcast clouds,13.3139,76.2561,KPS Comforts
334,Mogok,MM,80.53,overcast clouds,22.9167,96.5,MOGOK HILL HOTEL
337,Santa Rosa,PH,87.03,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
341,Alofi,NU,75.09,few clouds,-19.0595,-169.9187,Taloa Heights
346,Prescott,US,77.36,clear sky,34.54,-112.4685,Prescott Resort & Conference Center
347,Kerrville,US,78.55,broken clouds,30.0474,-99.1403,Inn Of The Hills Hotel & Conference Center
348,Tura,IN,89.49,few clouds,25.5198,90.2201,Hotel RIKMAN Continental
349,Mandalgovi,MN,78.21,overcast clouds,45.7625,106.2708,В.Ганбат
352,Jalu,LY,88.29,clear sky,29.0331,21.5482,صاحبة الفخامة
353,Sampit,ID,77.43,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
354,Panama City,PA,79.45,overcast clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
355,Tahoua,NE,80.98,overcast clouds,14.8888,5.2692,Bungalows Guesthouse
357,Kisangani,CD,79.57,overcast clouds,0.5167,25.2,Grand Ramela Hotel
358,Marsa Matruh,EG,82.6,clear sky,31.3525,27.2453,Beau Site
361,Tucumcari,US,78.64,clear sky,35.1717,-103.725,"Holiday Inn Express & Suites Tucumcari, an IHG Hotel"
365,Novara,IT,84.38,few clouds,45.5853,8.5778,Appartamenti Old Farm
366,Saiha,IN,84.88,scattered clouds,22.4833,92.9667,"Circuit House, Siaha"
367,Mantua,IT,87.04,few clouds,45.1667,10.7833,Hotel la Favorita
368,Bathsheba,BB,81.21,broken clouds,13.2167,-59.5167,Atlantis Hotel
369,Labuhan,ID,81.61,light rain,-6.8844,112.2051,DoubleFAG
370,Mahibadhoo,MV,82.26,heavy intensity rain,3.7833,72.9667,Omadhoo Inn
372,Veraval,IN,84.04,overcast clouds,20.9,70.3667,Lords Inn Somnath
373,Kurumkan,RU,75.61,few clouds,54.3,110.3,Ilikchin
376,Kirando,TZ,76.96,clear sky,-7.4167,30.6,"Lake Shore Lodge, Tanganyika"
377,Shingu,JP,82.74,overcast clouds,33.7333,135.9833,Shingu UI Hotel
385,Cockburn Town,TC,81.43,clear sky,21.4612,-71.1419,Osprey Beach Hotel
386,Nagayo,JP,81.75,broken clouds,32.8242,129.8861,長与町消防団第八分団
389,Kupang,ID,80.56,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
391,Algiers,DZ,80.42,clear sky,36.7525,3.042,Sofitel Algiers Hamma Garden
398,Chanika,TZ,75.81,broken clouds,-5.4167,38.0167,New Rombo Green Hotel
408,Luwuk,ID,81.39,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
409,Salisbury,GB,75.56,scattered clouds,51.0693,-1.7957,Mercure Salisbury White Hart Hotel
411,Arlit,NE,88.47,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
414,Malakal,SS,83.66,overcast clouds,9.5334,31.6605,Nile Palace Hotel
416,Westport,US,75.09,overcast clouds,41.1415,-73.3579,The Westport Inn
418,Alanya,TR,87.93,clear sky,36.5438,31.9998,Panorama Hotel
421,Biltine,TD,83.68,scattered clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
427,Dabou,CI,75.99,light rain,5.3256,-4.3769,Résidence N'Da
428,Pontianak,ID,87.78,scattered clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
438,Arak,IR,88.56,clear sky,34.0917,49.6892,Zagros Hotel
439,Ixtapa,MX,79.83,broken clouds,20.7,-105.2,hotel la terminal
445,Lorengau,PG,83.52,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
446,Ewa Beach,US,78.75,broken clouds,21.3156,-158.0072,Base Lodging
448,Gasa,PS,88.88,clear sky,31.5,34.4667,رابطة الفنانين الفلسطينيين
450,Nassau,US,75.07,overcast clouds,40.7507,-73.5829,Hilton Garden Inn Westbury
451,Kirakira,SB,79.54,few clouds,-10.4544,161.9205,SanBiz Lodge
456,Poole,GB,75.38,clear sky,50.7167,-2.0,Poole Quay Hotel
458,Kuandian,CN,76.26,few clouds,40.7286,124.7847,Hi Inn Dandong Kuandian Ji Xian Garden
