City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Pevek,RU,69.7008,170.3133,32.43,86,99,28.32,overcast clouds
1,Broome,US,42.2506,-75.833,65.61,86,0,1.01,clear sky
2,Cap Malheureux,MU,-19.9842,57.6142,72.46,71,37,8.99,scattered clouds
3,Port Alfred,ZA,-33.5906,26.891,77.18,32,2,7.0,clear sky
4,Sept-Iles,CA,50.2001,-66.3821,57.06,90,96,5.12,overcast clouds
5,Susanville,US,40.4163,-120.653,61.92,46,0,3.0,clear sky
6,Guerrero Negro,MX,27.9769,-114.0611,66.4,87,0,7.07,clear sky
7,Jijiga,ET,9.35,42.8,65.43,71,85,22.1,overcast clouds
8,Baracoa,CU,20.3467,-74.4958,78.66,89,3,1.63,clear sky
9,Upernavik,GL,72.7868,-56.1549,41.86,87,98,3.27,overcast clouds
10,Okhotsk,RU,59.3833,143.3,61.56,82,17,8.16,few clouds
11,Klaksvik,FO,62.2266,-6.589,50.92,86,95,23.09,overcast clouds
12,Atuona,PF,-9.8,-139.0333,77.65,75,1,18.16,clear sky
13,Hobart,AU,-42.8794,147.3294,44.46,86,75,10.36,broken clouds
14,Nikolskoye,RU,59.7035,30.7861,67.91,59,36,8.68,scattered clouds
15,Thompson,CA,55.7435,-97.8558,63.09,95,100,3.96,overcast clouds
16,Puerto Ayora,EC,-0.7393,-90.3518,66.54,97,45,7.0,scattered clouds
17,Bluff,NZ,-46.6,168.3333,48.79,78,35,17.81,scattered clouds
18,Lebu,CL,-37.6167,-73.65,49.21,94,100,23.73,overcast clouds
19,Mokhotlong,LS,-29.2894,29.0675,55.44,13,0,3.94,clear sky
20,Codrington,AU,-38.2667,141.9667,46.9,74,50,19.1,scattered clouds
21,Qaanaaq,GL,77.484,-69.3632,46.17,59,17,5.57,few clouds
22,Rocha,UY,-34.4833,-54.3333,45.84,76,89,14.5,overcast clouds
23,Nouadhibou,MR,20.931,-17.0347,68.7,85,93,22.41,overcast clouds
24,Burnie,AU,-41.0667,145.9167,44.94,71,20,18.59,few clouds
25,Ahipara,NZ,-35.1667,173.1667,50.68,79,49,3.91,scattered clouds
26,Kapaa,US,22.0752,-159.319,80.58,84,100,16.11,overcast clouds
27,Khatanga,RU,71.9667,102.5,66.09,46,100,6.82,overcast clouds
28,Bredasdorp,ZA,-34.5322,20.0403,66.88,41,3,4.29,clear sky
29,Emba,KZ,48.8264,58.1442,87.58,29,11,4.99,few clouds
30,Coquimbo,CL,-29.9533,-71.3436,46.13,65,0,10.36,clear sky
31,Butaritari,KI,3.0707,172.7902,81.03,71,100,2.71,light rain
32,East London,ZA,-33.0153,27.9116,73.06,30,7,3.09,clear sky
33,Jamestown,US,42.097,-79.2353,66.72,83,0,3.44,clear sky
34,Rikitea,PF,-23.1203,-134.9692,74.53,74,100,15.75,overcast clouds
35,Gat,IL,31.61,34.7642,88.39,30,0,8.46,clear sky
36,Sitka,US,57.0531,-135.33,57.09,82,100,4.61,overcast clouds
37,Caconda,AO,-13.7333,15.0667,62.58,36,0,10.29,clear sky
38,Vaini,TO,-21.2,-175.2,73.56,94,40,5.75,scattered clouds
39,Marrakesh,MA,31.6315,-8.0083,77.07,65,40,4.61,scattered clouds
40,Ushuaia,AR,-54.8,-68.3,40.66,65,75,11.5,broken clouds
41,Vila Velha,BR,-20.3297,-40.2925,66.15,93,0,3.44,clear sky
42,Carnarvon,AU,-24.8667,113.6333,72.19,58,97,10.4,overcast clouds
43,Severo-Kurilsk,RU,50.6789,156.125,54.66,94,93,2.17,overcast clouds
44,Kavieng,PG,-2.5744,150.7967,82.33,78,65,14.38,broken clouds
45,Lompoc,US,34.6391,-120.4579,56.52,94,100,0.0,mist
46,Townsville,AU,-19.25,146.8,68.88,73,0,11.5,clear sky
47,Esperance,AU,-33.8667,121.9,59.18,67,100,9.69,overcast clouds
48,Farafangana,MG,-22.8167,47.8333,72.01,67,86,13.67,overcast clouds
49,Ponta Do Sol,PT,32.6667,-17.1,72.01,75,30,8.59,scattered clouds
50,Matane,CA,48.8286,-67.522,56.62,94,99,9.13,overcast clouds
51,Nantucket,US,41.2835,-70.0995,73.51,94,100,5.75,fog
52,Port Lincoln,AU,-34.7333,135.8667,53.76,64,72,16.78,broken clouds
53,Naze,JP,28.3667,129.4833,81.86,81,100,11.72,overcast clouds
54,Saint-Philippe,RE,-21.3585,55.7679,73.22,82,73,18.01,light rain
55,Provideniya,RU,64.3833,-173.3,50.49,74,99,6.64,overcast clouds
56,Severnyy,RU,50.677,36.5532,71.64,46,0,4.47,clear sky
57,Matara,LK,5.9485,80.5353,85.96,65,100,13.22,overcast clouds
58,Thomasville,US,35.8826,-80.082,71.42,95,35,5.08,scattered clouds
59,Qaqortoq,GL,60.7167,-46.0333,41.67,81,95,3.91,overcast clouds
60,Mandera,KE,3.9366,41.867,86.07,38,92,24.16,overcast clouds
61,Nanortalik,GL,60.1432,-45.2371,41.02,84,17,8.7,few clouds
62,Albany,US,42.6001,-73.9662,68.41,90,49,2.01,scattered clouds
63,Kinsale,IE,51.7075,-8.5306,66.24,88,75,11.5,broken clouds
64,Yellowknife,CA,62.456,-114.3525,59.56,100,100,10.0,overcast clouds
65,General Pico,AR,-35.6566,-63.7568,35.8,75,4,8.79,clear sky
66,Bilibino,RU,68.0546,166.4372,38.41,74,99,20.36,light rain
67,Vytegra,RU,61.0064,36.4481,64.45,57,100,4.52,light rain
68,Thinadhoo,MV,0.5333,72.9333,81.36,78,96,8.08,overcast clouds
69,Sobolevo,RU,54.4299,31.8996,62.56,71,14,3.69,light rain
70,Altagracia De Orituco,VE,9.8601,-66.3814,70.2,97,87,3.18,overcast clouds
71,Mahebourg,MU,-20.4081,57.7,72.25,72,68,20.85,light rain
72,Saldanha,ZA,-33.0117,17.9442,61.83,75,0,9.69,clear sky
73,Conde,BR,-7.2597,-34.9075,72.86,94,75,9.22,broken clouds
74,Emerald,AU,-23.5333,148.1667,66.34,56,12,7.94,few clouds
75,Busselton,AU,-33.65,115.3333,56.37,85,100,12.26,light rain
76,Crossville,US,35.949,-85.0269,70.45,95,0,3.44,clear sky
77,Touros,BR,-5.1989,-35.4608,73.85,90,48,12.55,scattered clouds
78,Bengkulu,ID,-3.8004,102.2655,85.17,68,80,8.08,broken clouds
79,Campbell River,CA,50.0163,-125.2446,59.45,90,93,6.64,overcast clouds
80,Doka,SD,13.5167,35.7667,82.81,57,38,8.88,scattered clouds
81,Yar-Sale,RU,66.8333,70.8333,71.78,41,57,9.37,broken clouds
82,Tuktoyaktuk,CA,69.4541,-133.0374,47.1,98,100,4.74,light rain
83,Adrar,MR,20.5022,-10.0711,93.72,11,11,10.94,few clouds
84,Gamba,GA,-2.65,10.0,75.76,70,76,6.06,broken clouds
85,Isangel,VU,-19.55,169.2667,72.0,81,48,17.85,scattered clouds
86,Novoselytsya,UA,48.2193,26.2653,65.17,38,36,15.55,scattered clouds
87,Wanning,CN,18.8003,110.3967,87.87,75,78,13.29,broken clouds
88,Chernyshevskiy,RU,63.0128,112.4714,59.09,80,100,4.99,overcast clouds
89,Pilar,BR,-9.5972,-35.9567,73.33,90,95,5.23,overcast clouds
90,Cape Town,ZA,-33.9258,18.4232,62.28,71,0,8.01,clear sky
91,Chokurdakh,RU,70.6333,147.9167,46.74,37,14,15.55,few clouds
92,Tournon-Sur-Rhone,FR,45.0667,4.8333,79.27,43,0,11.5,clear sky
93,Yulara,AU,-25.2406,130.9889,67.91,14,3,5.46,clear sky
94,New Norfolk,AU,-42.7826,147.0587,44.1,85,74,4.0,light rain
95,Georgetown,MY,5.4112,100.3354,89.53,66,20,6.91,few clouds
96,Killybegs,IE,54.6333,-8.45,64.22,75,100,6.53,overcast clouds
97,Marinette,US,45.1,-87.6307,63.09,94,0,0.0,clear sky
98,Faya,SA,18.3851,42.4509,84.72,19,14,7.61,few clouds
99,Cape Canaveral,US,28.4058,-80.6048,80.01,90,40,3.44,scattered clouds
100,Avarua,CK,-21.2078,-159.775,71.65,83,75,10.36,moderate rain
101,Tukrah,LY,32.5341,20.5791,83.39,53,0,10.67,clear sky
102,Aklavik,CA,68.2191,-135.0107,55.29,80,99,5.14,overcast clouds
103,Noumea,NC,-22.2763,166.4572,64.38,72,9,12.57,clear sky
104,Lakes Entrance,AU,-37.8811,147.981,50.16,76,87,12.8,light rain
105,Ahuimanu,US,21.4447,-157.8378,78.51,90,100,13.8,moderate rain
106,Gwadar,PK,25.1216,62.3254,89.67,71,100,9.17,overcast clouds
107,Ambilobe,MG,-13.2,49.05,86.58,33,8,14.2,clear sky
108,Hilo,US,19.7297,-155.09,80.28,97,100,4.0,moderate rain
109,Chicama,PE,-7.8447,-79.1469,57.74,89,41,3.65,scattered clouds
110,Sulangan,PH,11.1373,123.7228,83.84,77,100,8.52,overcast clouds
111,Pacific Grove,US,36.6177,-121.9166,57.31,91,100,9.22,overcast clouds
112,Port Elizabeth,ZA,-33.918,25.5701,75.09,33,1,13.98,clear sky
113,Rio Grande,BR,-32.035,-52.0986,46.94,84,76,16.8,broken clouds
114,Bayburt,TR,40.2589,40.2278,70.43,54,19,4.63,few clouds
115,Punta Arenas,CL,-53.15,-70.9167,30.31,93,100,8.05,overcast clouds
116,Castro,BR,-24.7911,-50.0119,59.9,88,100,5.79,overcast clouds
117,Katherine,AU,-14.4667,132.2667,82.72,30,89,9.22,overcast clouds
118,Waspan,NI,14.7419,-83.9717,72.93,98,32,2.48,scattered clouds
119,Dingle,PH,10.9995,122.6711,83.43,81,100,5.19,overcast clouds
120,Sao Filipe,CV,14.8961,-24.4956,74.68,86,8,9.84,clear sky
121,Kilosa,TZ,-6.8333,36.9833,77.11,47,51,8.01,broken clouds
122,Hamilton,US,39.1834,-84.5333,79.75,77,0,8.05,clear sky
123,Andros Town,BS,24.7,-77.7667,80.56,77,100,17.56,overcast clouds
124,Shahrud,IR,36.4182,54.9763,91.58,11,0,15.66,clear sky
125,Bethel,US,41.3712,-73.414,71.96,90,75,0.0,broken clouds
126,Mount Gambier,AU,-37.8333,140.7667,46.45,73,69,11.74,light rain
127,Abeche,TD,13.8292,20.8324,79.34,71,89,6.08,overcast clouds
128,Portland,US,45.5234,-122.6762,64.62,71,75,11.5,broken clouds
129,Laguna,US,38.421,-121.4238,83.32,50,0,5.75,clear sky
130,Cidreira,BR,-30.1811,-50.2056,53.76,80,6,21.59,clear sky
131,Iqaluit,CA,63.7506,-68.5145,47.7,87,100,1.5,overcast clouds
132,Hithadhoo,MV,-0.6,73.0833,84.69,69,78,12.35,broken clouds
133,Hermanus,ZA,-34.4187,19.2345,67.8,54,0,6.85,clear sky
134,Arraial Do Cabo,BR,-22.9661,-42.0278,69.73,79,99,14.25,overcast clouds
135,Katsuura,JP,35.1333,140.3,79.29,88,9,16.24,clear sky
136,Camacha,PT,33.0833,-16.3333,67.42,78,20,10.36,few clouds
137,Hasaki,JP,35.7333,140.8333,84.29,87,1,18.05,clear sky
138,Kodiak,US,57.79,-152.4072,53.11,94,100,4.61,overcast clouds
139,Hervey Bay,AU,-25.2986,152.8535,66.2,66,91,3.09,overcast clouds
140,Hay River,CA,60.8156,-115.7999,60.78,77,56,5.75,broken clouds
141,Ilulissat,GL,69.2167,-51.1,44.62,87,64,3.44,broken clouds
142,Rawson,AR,-43.3002,-65.1023,38.53,59,84,12.57,broken clouds
143,Barranca,PE,-10.75,-77.7667,60.31,84,100,8.88,overcast clouds
144,Bako,ET,5.7833,36.5667,73.17,58,92,1.81,overcast clouds
145,Lucea,JM,18.451,-78.1736,75.85,83,75,10.47,broken clouds
146,Monrovia,LR,6.3005,-10.7969,74.97,84,93,11.21,light rain
147,Nipawin,CA,53.3668,-104.0009,66.24,94,0,5.75,clear sky
148,Sinnamary,GF,5.3833,-52.95,75.42,90,35,4.65,scattered clouds
149,Cayenne,GF,4.9333,-52.3333,78.1,1,0,0.0,clear sky
150,Pervomayskoye,RU,43.919,46.7102,96.49,24,0,14.79,clear sky
151,Ishigaki,JP,24.3448,124.1572,89.73,79,75,9.22,broken clouds
152,Walajapet,IN,12.9333,79.3833,90.05,47,100,12.12,overcast clouds
153,Torbay,CA,47.6666,-52.7314,56.88,85,20,6.91,few clouds
154,Mackay,AU,-21.15,149.2,65.68,85,8,9.66,clear sky
155,Liverpool,GB,53.4106,-2.9779,74.52,67,20,5.75,few clouds
156,Kristinehamn,SE,59.3098,14.1081,57.76,41,100,1.86,overcast clouds
157,Lovington,US,32.944,-103.3485,78.03,43,0,1.01,clear sky
158,Sovetskiy,RU,61.3614,63.5842,76.35,34,100,3.38,overcast clouds
159,Ancud,CL,-41.8697,-73.8203,44.22,87,100,9.44,light rain
160,Kahului,US,20.8947,-156.47,77.02,80,0,19.57,clear sky
161,Chuy,UY,-33.6971,-53.4616,44.49,88,46,10.76,scattered clouds
162,Praia Da Vitoria,PT,38.7333,-27.0667,70.05,88,75,8.81,broken clouds
163,Mersing,MY,2.4312,103.8405,87.71,79,40,14.97,scattered clouds
164,Kibaya,TZ,-5.3,36.5667,66.45,49,47,7.94,scattered clouds
165,Namatanai,PG,-3.6667,152.4333,80.58,79,17,10.63,light rain
166,Lafiagi,NG,8.8667,5.4167,75.74,85,100,3.8,overcast clouds
167,Mataura,NZ,-46.1927,168.8643,48.47,83,70,4.52,broken clouds
168,Strezhevoy,RU,60.7333,77.5889,71.08,42,76,10.94,broken clouds
169,Pisco,PE,-13.7,-76.2167,54.01,87,3,5.75,mist
170,Saucillo,MX,28.0167,-105.2833,80.53,39,98,11.63,overcast clouds
171,Basudebpur,IN,21.1353,86.7386,88.07,70,43,15.84,scattered clouds
172,Opuwo,NA,-18.0607,13.84,62.94,34,0,16.11,clear sky
173,Norman Wells,CA,65.282,-126.8329,60.84,88,75,4.61,light intensity shower rain
174,Merauke,ID,-8.4667,140.3333,77.5,82,97,16.49,overcast clouds
175,San Patricio,US,28.017,-97.5169,82.27,85,0,8.86,clear sky
176,Barrow,US,71.2906,-156.7887,35.62,87,20,13.8,few clouds
177,Vardo,NO,70.3705,31.1107,57.18,82,75,11.5,broken clouds
178,Namie,JP,37.4833,141.0,83.71,80,97,8.16,light rain
179,Miranda De Ebro,ES,42.6865,-2.947,90.82,33,2,3.29,clear sky
180,Narrabri,AU,-30.3167,149.7833,55.8,80,99,5.93,overcast clouds
181,Tautira,PF,-17.7333,-149.15,75.54,73,60,22.01,light rain
182,Tasiilaq,GL,65.6145,-37.6368,46.56,77,90,4.54,overcast clouds
183,Kavaratti,IN,10.5669,72.642,81.43,83,71,16.89,light rain
184,Zhangye,CN,38.9342,100.4517,84.92,20,90,4.52,overcast clouds
185,Katobu,ID,-4.9408,122.5276,82.74,66,76,5.99,broken clouds
186,Airai,TL,-8.9266,125.4092,63.86,75,82,3.29,broken clouds
187,Bandarbeyla,SO,9.4942,50.8122,89.06,43,68,35.54,broken clouds
188,Shambu,ET,9.5667,37.1,56.03,87,100,1.77,light rain
